medal_type,medal_code,name,country,country_code,nationality,discipline,event,birth_date,code
Silver Medal,2,CHOPRA Neeraj,India,IND,India,Athletics,Men's Javelin Throw,1997-12-24,1550250
Bronze Medal,3,PETERS Anderson,Grenada,GRN,Grenada,Athletics,Men's Javelin Throw,1997-10-21,1573418
Gold Medal,1,McLAUGHLIN-LEVRONE Sydney,United States,USA,United States,Athletics,Women's 400m Hurdles,1999-08-07,1965308
Silver Medal,2,COCKRELL Anna,United States,USA,United States,Athletics,Women's 400m Hurdles,1997-08-28,1960581
Bronze Medal,3,BOL Femke,Netherlands,NED,Netherlands,Athletics,Women's 400m Hurdles,2000-02-23,1972078
Gold Medal,1,DAVIS-WOODHALL Tara,United States,USA,United States,Athletics,Women's Long Jump,1999-05-20,1960711
Silver Medal,2,MIHAMBO Malaika,Germany,GER,Germany,Athletics,Women's Long Jump,1994-02-03,1920175
Bronze Medal,3,MOORE Jasmine,United States,USA,United States,Athletics,Women's Long Jump,2001-05-01,1965250
Gold Medal,1,DUSMATOV Hasanboy,Uzbekistan,UZB,Uzbekistan,Boxing,Men's 51kg,1993-06-24,1556045
Silver Medal,2,BENNAMA Billal,France,FRA,France,Boxing,Men's 51kg,1998-06-14,1879110
Bronze Medal,3,SENIOR Charlie,Australia,AUS,Australia,Boxing,Men's 57kg,2001-11-20,1940136
Bronze Medal,3,IBANEZ DIAZ Javier,Bulgaria,BUL,Bulgaria,Boxing,Men's 57kg,1996-07-14,1555185
Gold Medal,1,CHANG Yuan,China,CHN,China,Boxing,Women's 54kg,1997-06-24,1926832
Silver Medal,2,AKBAS Hatice,Türkiye,TUR,Türkiye,Boxing,Women's 54kg,2001-06-24,1568186
Bronze Medal,3,PARKER Caitlin,Australia,AUS,Australia,Boxing,Women's 75kg,1996-04-17,1940134
Bronze Medal,3,DJANKEU NGAMBA Cindy Winner,EOR,EOR,Cameroon,Boxing,Women's 75kg,1998-09-07,1894537
Gold Medal,1,,,,,Canoe Sprint,Men's Canoe Double 500m,,CSPMC2-500M-CHN01
Silver Medal,2,,,,,Canoe Sprint,Men's Canoe Double 500m,,CSPMC2-500M-ITA01
Bronze Medal,3,,,,,Canoe Sprint,Men's Canoe Double 500m,,CSPMC2-500M-ESP01
Gold Medal,1,THOMAS Benjamin,France,FRA,France,Cycling Track,Men's Omnium,1995-09-12,1895717
Silver Medal,2,LEITAO Iuri,Portugal,POR,Portugal,Cycling Track,Men's Omnium,1998-07-03,1933816
Bronze Medal,3,van den BOSSCHE Fabio,Belgium,BEL,Belgium,Cycling Track,Men's Omnium,2000-09-21,1915370
Gold Medal,1,ANDREWS Ellesse,New Zealand,NZL,New Zealand,Cycling Track,Women's Keirin,1999-12-31,1945040
Silver Medal,2,van de WOUW Hetty,Netherlands,NED,Netherlands,Cycling Track,Women's Keirin,1998-05-29,1969180
Bronze Medal,3,FINUCANE Emma,Great Britain,GBR,Great Britain,Cycling Track,Women's Keirin,2002-12-22,1912522
Gold Medal,1,XIE Siyi,China,CHN,China,Diving,Men's 3m Springboard,1996-03-28,1901550
Silver Medal,2,WANG Zongyuan,China,CHN,China,Diving,Men's 3m Springboard,2001-10-24,1901549
Bronze Medal,3,OLVERA IBARRA Osmar,Mexico,MEX,Mexico,Diving,Men's 3m Springboard,2004-06-05,1535349
Gold Medal,1,van ROUWENDAAL Sharon,Netherlands,NED,Netherlands,Marathon Swimming,Women's 10km,1993-09-09,1972515
Silver Medal,2,JOHNSON Moesha,Australia,AUS,Australia,Marathon Swimming,Women's 10km,1997-09-19,1945588
Bronze Medal,3,TADDEUCCI Ginevra,Italy,ITA,Italy,Marathon Swimming,Women's 10km,1997-05-03,1925804
Gold Medal,1,ALDRIDGE Eleanor,Great Britain,GBR,Great Britain,Sailing,Women's Kite,1996-12-29,1899728
Silver Medal,2,NOLOT Lauriane,France,FRA,France,Sailing,Women's Kite,1998-12-09,1559512
Bronze Medal,3,LAMMERTS Annelous,Netherlands,NED,Netherlands,Sailing,Women's Kite,1993-11-01,1970517
Gold Medal,1,LEONARDO Veddriq,Indonesia,INA,Indonesia,Sport Climbing,Men's Speed,1997-03-11,1940329
Silver Medal,2,WU Peng,China,CHN,China,Sport Climbing,Men's Speed,2002-10-15,1913699
Bronze Medal,3,WATSON Sam,United States,USA,United States,Sport Climbing,Men's Speed,2006-02-27,1950309
Gold Medal,1,RASHITOV Ulugbek,Uzbekistan,UZB,Uzbekistan,Taekwondo,Men -68kg,2002-03-23,1887714
Silver Medal,2,KAREEM Zaid,Jordan,JOR,Jordan,Taekwondo,Men -68kg,2001-06-19,1537401
Bronze Medal,3,LIANG Yushuai,China,CHN,China,Taekwondo,Men -68kg,2000-09-10,1910367
Bronze Medal,3,PONTES Edival,Brazil,BRA,Brazil,Taekwondo,Men -68kg,1997-10-11,1955815
Gold Medal,1,KIM Yujin,Korea,KOR,Korea,Taekwondo,Women -57kg,2000-10-17,1904038
Silver Medal,2,KIYANICHANDEH Nahid,IR Iran,IRI,IR Iran,Taekwondo,Women -57kg,1998-08-01,1536067
Bronze Medal,3,PARK Skylar,Canada,CAN,Canada,Taekwondo,Women -57kg,1999-06-06,1966505
Bronze Medal,3,KIMIA Alizadeh,Bulgaria,BUL,Bulgaria,Taekwondo,Women -57kg,1998-07-10,2493835
Gold Medal,1,JUNIANSYAH Rizki,Indonesia,INA,Indonesia,Weightlifting,Men's 73kg,2003-06-17,1941786
Silver Medal,2,WICHUMA Weeraphon,Thailand,THA,Thailand,Weightlifting,Men's 73kg,2004-08-10,1898067
Bronze Medal,3,ANDREEV Bozhidar Dimitrov,Bulgaria,BUL,Bulgaria,Weightlifting,Men's 73kg,1997-01-17,1902787
Gold Medal,1,LUO Shifang,China,CHN,China,Weightlifting,Women's 59kg,2001-04-02,1918379
Silver Medal,2,CHARRON Maude,Canada,CAN,Canada,Weightlifting,Women's 59kg,1993-04-28,1965815
Bronze Medal,3,KUO Hsing-Chun,Chinese Taipei,TPE,Chinese Taipei,Weightlifting,Women's 59kg,1993-11-26,1569563
Gold Medal,1,ESMAEILI LEIVESI Saeid,IR Iran,IRI,IR Iran,Wrestling,Men's Greco-Roman 67kg,2003-07-15,1544928
Silver Medal,2,NASIBOV Parviz,Ukraine,UKR,Ukraine,Wrestling,Men's Greco-Roman 67kg,1998-08-18,1550119
Bronze Medal,3,JAFAROV Hasrat,Azerbaijan,AZE,Azerbaijan,Wrestling,Men's Greco-Roman 67kg,2002-10-05,1981760
Bronze Medal,3,ORTA SANCHEZ Luis Alberto,Cuba,CUB,Cuba,Wrestling,Men's Greco-Roman 67kg,1994-08-22,1571498
Gold Medal,1,NOVIKOV Semen Sergeevich,Bulgaria,BUL,Bulgaria,Wrestling,Men's Greco-Roman 87kg,1997-12-11,1559471
Silver Medal,2,MOHMADIPIANI Alireza,IR Iran,IRI,IR Iran,Wrestling,Men's Greco-Roman 87kg,2002-10-30,1544880
Bronze Medal,3,BELENIUK Zhan,Ukraine,UKR,Ukraine,Wrestling,Men's Greco-Roman 87kg,1991-01-24,1550116
Bronze Medal,3,BISULTANOV Turpal Ali,Denmark,DEN,Denmark,Wrestling,Men's Greco-Roman 87kg,2001-10-14,1879518
Gold Medal,1,FUJINAMI Akari,Japan,JPN,Japan,Wrestling,Women's Freestyle 53kg,2003-11-11,1939711
Silver Medal,2,YEPEZ GUZMAN Lucia Yamileth,Ecuador,ECU,Ecuador,Wrestling,Women's Freestyle 53kg,2001-02-18,1960228
Bronze Medal,3,CHOE Hyo Gyong,DPR Korea,PRK,DPR Korea,Wrestling,Women's Freestyle 53kg,2000-05-10,1980149
Bronze Medal,3,PANG Qianyu,China,CHN,China,Wrestling,Women's Freestyle 53kg,1996-11-13,1920006
Gold Medal,1,BENJAMIN Rai,United States,USA,United States,Athletics,Men's 400m Hurdles,1997-07-27,1960684
Silver Medal,2,WARHOLM Karsten,Norway,NOR,Norway,Athletics,Men's 400m Hurdles,1996-02-28,1894095
Bronze Medal,3,dos SANTOS Alison,Brazil,BRA,Brazil,Athletics,Men's 400m Hurdles,2000-06-03,1951913
Gold Medal,1,DIAZ FORTUN Jordan Alejandro,Spain,ESP,Spain,Athletics,Men's Triple Jump,2001-02-23,1904099
Silver Medal,2,PICHARDO Pedro,Portugal,POR,Portugal,Athletics,Men's Triple Jump,1993-06-30,1938792
Bronze Medal,3,DIAZ HERNANDEZ Andy,Italy,ITA,Italy,Athletics,Men's Triple Jump,1995-12-25,1552375
Gold Medal,1,CHEBET Beatrice,Kenya,KEN,Kenya,Athletics,"Women's 10,000m",2000-03-05,1910560
Silver Medal,2,BATTOCLETTI Nadia,Italy,ITA,Italy,Athletics,"Women's 10,000m",2000-04-12,1552305
Bronze Medal,3,HASSAN Sifan,Netherlands,NED,Netherlands,Athletics,"Women's 10,000m",1993-01-01,1972105
Gold Medal,1,PAULINO Marileidy,Dominican Republic,DOM,Dominican Republic,Athletics,Women's 400m,1996-10-25,1899666
Silver Medal,2,NASER Salwa Eid,Bahrain,BRN,Bahrain,Athletics,Women's 400m,1998-05-23,1915338
Bronze Medal,3,KACZMAREK Natalia,Poland,POL,Poland,Athletics,Women's 400m,1998-01-17,1573098
Gold Medal,1,OGUNLEYE Yemisi,Germany,GER,Germany,Athletics,Women's Shot Put,1998-10-03,1920183
Silver Medal,2,WESCHE Maddison-Lee,New Zealand,NZL,New Zealand,Athletics,Women's Shot Put,1999-06-13,1926695
Bronze Medal,3,SONG Jiayuan,China,CHN,China,Athletics,Women's Shot Put,1997-09-15,1919065
Gold Medal,1,MUYDINKHUJAEV Asadkhuja,Uzbekistan,UZB,Uzbekistan,Boxing,Men's 71kg,2001-05-08,1556797
Silver Medal,2,VERDE ALVAREZ Marco Alonso,Mexico,MEX,Mexico,Boxing,Men's 71kg,2002-02-11,1535187
Gold Medal,1,MULLOJONOV Lazizbek,Uzbekistan,UZB,Uzbekistan,Boxing,Men's 92kg,1999-05-13,1556860
Silver Medal,2,ALFONSO DOMINGUEZ Loren Berto,Azerbaijan,AZE,Azerbaijan,Boxing,Men's 92kg,1995-07-28,1972343
Gold Medal,1,WU Yu,China,CHN,China,Boxing,Women's 50kg,1995-01-13,1926833
Silver Medal,2,CAKIROGLU Buse Naz,Türkiye,TUR,Türkiye,Boxing,Women's 50kg,1996-05-26,1568182
Gold Medal,1,KHELIF Imane,Algeria,ALG,Algeria,Boxing,Women's 66kg,1999-05-02,1540353
Silver Medal,2,YANG Liu,China,CHN,China,Boxing,Women's 66kg,1992-05-20,1926827
Gold Medal,1,AMI,Japan,JPN,Japan,Breaking,B-Girls,1998-12-11,1953038
Silver Medal,2,NICKA,Lithuania,LTU,Lithuania,Breaking,B-Girls,2007-06-08,1924559
Bronze Medal,3,671,China,CHN,China,Breaking,B-Girls,2005-10-19,1909907
Gold Medal,1,FUKSA Martin,Czechia,CZE,Czechia,Canoe Sprint,Men's Canoe Single 1000m,1993-04-30,1878716
Silver Medal,2,QUEIROZ Isaquias,Brazil,BRA,Brazil,Canoe Sprint,Men's Canoe Single 1000m,1994-01-03,1952595
Bronze Medal,3,TARNOVSCHI Serghei,Republic of Moldova,MDA,Republic of Moldova,Canoe Sprint,Men's Canoe Single 1000m,1997-06-24,1550295
Gold Medal,1,,,,,Canoe Sprint,Men's Kayak Double 500m,,CSPMK2-500M-GER01
Silver Medal,2,,,,,Canoe Sprint,Men's Kayak Double 500m,,CSPMK2-500M-HUN01
Bronze Medal,3,,,,,Canoe Sprint,Men's Kayak Double 500m,,CSPMK2-500M-AUS01
Gold Medal,1,,,,,Canoe Sprint,Women's Canoe Double 500m,,CSPWC2-500M-CHN01
Silver Medal,2,,,,,Canoe Sprint,Women's Canoe Double 500m,,CSPWC2-500M-UKR01
Bronze Medal,3,,,,,Canoe Sprint,Women's Canoe Double 500m,,CSPWC2-500M-CAN01
Gold Medal,1,,,,,Canoe Sprint,Women's Kayak Double 500m,,CSPWK2-500M-NZL01
Silver Medal,2,,,,,Canoe Sprint,Women's Kayak Double 500m,,CSPWK2-500M-HUN01
Bronze Medal,3,,,,,Canoe Sprint,Women's Kayak Double 500m,,CSPWK2-500M-GER01
Bronze Medal,3,,,,,Canoe Sprint,Women's Kayak Double 500m,,CSPWK2-500M-HUN02
Gold Medal,1,LAVREYSEN Harrie,Netherlands,NED,Netherlands,Cycling Track,Men's Sprint,1997-03-14,1969182
Silver Medal,2,RICHARDSON Matthew,Australia,AUS,Australia,Cycling Track,Men's Sprint,1999-04-17,1940263
Bronze Medal,3,CARLIN Jack,Great Britain,GBR,Great Britain,Cycling Track,Men's Sprint,1997-04-23,1912515
Gold Medal,1,CHEN Yiwen,China,CHN,China,Diving,Women's 3m Springboard,1999-06-15,1901538
Silver Medal,2,KEENEY Maddison,Australia,AUS,Australia,Diving,Women's 3m Springboard,1996-05-23,1940414
Bronze Medal,3,CHANG Yani,China,CHN,China,Diving,Women's 3m Springboard,2001-12-07,1901539
Gold Medal,1,RASOVSZKY Kristof,Hungary,HUN,Hungary,Marathon Swimming,Men's 10km,1997-03-27,1909030
Silver Medal,2,KLEMET Oliver,Germany,GER,Germany,Marathon Swimming,Men's 10km,2002-03-18,1907234
Bronze Medal,3,BETLEHEM David,Hungary,HUN,Hungary,Marathon Swimming,Men's 10km,2003-09-04,1902450
Gold Medal,1,BONTUS Valentin,Austria,AUT,Austria,Sailing,Men's Kite,2001-02-01,1566437
Silver Medal,2,VODISEK Toni,Slovenia,SLO,Slovenia,Sailing,Men's Kite,2000-06-07,1981549
Bronze Medal,3,MAEDER Maximilian,Singapore,SGP,Singapore,Sailing,Men's Kite,2006-09-12,1535852
Gold Medal,1,ROBERTS Toby,Great Britain,GBR,Great Britain,Sport Climbing,Men's Boulder & Lead,2005-03-15,1544218
Silver Medal,2,ANRAKU Sorato,Japan,JPN,Japan,Sport Climbing,Men's Boulder & Lead,2006-11-14,1892022
Bronze Medal,3,SCHUBERT Jakob,Austria,AUT,Austria,Sport Climbing,Men's Boulder & Lead,1990-12-31,1560677
Gold Medal,1,KATOUSSI Firas,Tunisia,TUN,Tunisia,Taekwondo,Men -80kg,1995-09-06,1947737
Silver Medal,2,BARKHORDARI Mehran,IR Iran,IRI,IR Iran,Taekwondo,Men -80kg,2000-07-26,1536058
Bronze Medal,3,ALESSIO Simone,Italy,ITA,Italy,Taekwondo,Men -80kg,2000-04-14,1929685
Bronze Medal,3,HRNIC Edi,Denmark,DEN,Denmark,Taekwondo,Men -80kg,2003-12-26,1914832
Gold Medal,1,MARTON Viviana,Hungary,HUN,Hungary,Taekwondo,Women -67kg,2006-02-16,1572318
Silver Medal,2,PERISIC Aleksandra,Serbia,SRB,Serbia,Taekwondo,Women -67kg,2002-07-02,1956372
Bronze Medal,3,TEACHOUT Kristina,United States,USA,United States,Taekwondo,Women -67kg,2005-09-13,1930773
Bronze Medal,3,CHAARI Sarah,Belgium,BEL,Belgium,Taekwondo,Women -67kg,2005-05-02,1903284
Gold Medal,1,NASAR Karlos May,Bulgaria,BUL,Bulgaria,Weightlifting,Men's 89kg,2004-05-12,1903011
Silver Medal,2,LOPEZ Yeison,Colombia,COL,Colombia,Weightlifting,Men's 89kg,1999-09-01,1543506
Bronze Medal,3,PIZZOLATO Antonino,Italy,ITA,Italy,Weightlifting,Men's 89kg,1996-08-20,1568724
Gold Medal,1,REEVES Olivia,United States,USA,United States,Weightlifting,Women's 71kg,2003-04-19,1917154
Silver Medal,2,SANCHEZ Mari Leivis,Colombia,COL,Colombia,Weightlifting,Women's 71kg,1991-10-08,1543509
Bronze Medal,3,PALACIOS DAJOMES Angie Paola,Ecuador,ECU,Ecuador,Weightlifting,Women's 71kg,2000-09-12,1940300
Gold Medal,1,HIGUCHI Rei,Japan,JPN,Japan,Wrestling,Men's Freestyle 57kg,1996-01-28,1939714
Silver Medal,2,LEE Spencer Richard,United States,USA,United States,Wrestling,Men's Freestyle 57kg,1998-10-14,1955415
Bronze Medal,3,AMAN Aman,India,IND,India,Wrestling,Men's Freestyle 57kg,2003-07-16,1931496
Bronze Medal,3,ABDULLAEV Gulomjon,Uzbekistan,UZB,Uzbekistan,Wrestling,Men's Freestyle 57kg,1998-11-11,1562157
Gold Medal,1,RAMAZANOV Magomed Eldarovitch,Bulgaria,BUL,Bulgaria,Wrestling,Men's Freestyle 86kg,1993-05-22,1556873
Silver Medal,2,YAZDANICHARATI Hassan,IR Iran,IRI,IR Iran,Wrestling,Men's Freestyle 86kg,1994-12-26,1544803
Bronze Medal,3,BROOKS Aaron Marquel,United States,USA,United States,Wrestling,Men's Freestyle 86kg,2000-06-15,1955300
Bronze Medal,3,KURUGLIEV Dauren,Greece,GRE,Greece,Wrestling,Men's Freestyle 86kg,1992-07-12,1963800
Gold Medal,1,SAKURAI Tsugumi,Japan,JPN,Japan,Wrestling,Women's Freestyle 57kg,2001-09-03,1939710
Silver Medal,2,NICHITA Anastasia,Republic of Moldova,MDA,Republic of Moldova,Wrestling,Women's Freestyle 57kg,1999-02-19,1572203
Bronze Medal,3,MAROULIS Helen Louise,United States,USA,United States,Wrestling,Women's Freestyle 57kg,1991-09-19,1955426
Bronze Medal,3,HONG Kexin,China,CHN,China,Wrestling,Women's Freestyle 57kg,2003-01-06,1920010
Gold Medal,1,,,,,Artistic Swimming,Duet,,SWAWTEAM2---CHN01
Silver Medal,2,,,,,Artistic Swimming,Duet,,SWAWTEAM2---GBR01
Bronze Medal,3,,,,,Artistic Swimming,Duet,,SWAWTEAM2---NED01
Gold Medal,1,INGEBRIGTSEN Jakob,Norway,NOR,Norway,Athletics,Men's 5000m,2000-09-19,1898250
Silver Medal,2,KWEMOI Ronald,Kenya,KEN,Kenya,Athletics,Men's 5000m,1995-09-19,1963077
Bronze Medal,3,FISHER Grant,United States,USA,United States,Athletics,Men's 5000m,1997-04-22,1960959
Gold Medal,1,WANYONYI Emmanuel,Kenya,KEN,Kenya,Athletics,Men's 800m,2004-08-01,1910412
Silver Medal,2,AROP Marco,Canada,CAN,Canada,Athletics,Men's 800m,1998-09-20,1974048
Bronze Medal,3,SEDJATI Djamel,Algeria,ALG,Algeria,Athletics,Men's 800m,1999-05-03,1963520
Gold Medal,1,KERR Hamish,New Zealand,NZL,New Zealand,Athletics,Men's High Jump,1996-08-17,1926713
Silver Medal,2,McEWEN Shelby,United States,USA,United States,Athletics,Men's High Jump,1996-04-06,1965306
Bronze Medal,3,BARSHIM Mutaz Essa,Qatar,QAT,Qatar,Athletics,Men's High Jump,1991-06-24,1566681
Gold Medal,1,TOLA Tamirat,Ethiopia,ETH,Ethiopia,Athletics,Men's Marathon,1991-08-11,1901284
Silver Medal,2,ABDI Bashir,Belgium,BEL,Belgium,Athletics,Men's Marathon,1989-02-10,1942753
Bronze Medal,3,KIPRUTO Benson,Kenya,KEN,Kenya,Athletics,Men's Marathon,1991-03-17,1910555
Gold Medal,1,RUSSELL Masai,United States,USA,United States,Athletics,Women's 100m Hurdles,2000-06-17,1960169
Silver Medal,2,SAMBA-MAYELA Cyrena,France,FRA,France,Athletics,Women's 100m Hurdles,2000-10-31,1911932
Bronze Medal,3,CAMACHO-QUINN Jasmine,Puerto Rico,PUR,United States,Athletics,Women's 100m Hurdles,1996-08-21,1537183
Gold Medal,1,KIPYEGON Faith,Kenya,KEN,Kenya,Athletics,Women's 1500m,1994-01-10,1910451
Silver Medal,2,HULL Jessica,Australia,AUS,Australia,Athletics,Women's 1500m,1996-10-22,1939795
Bronze Medal,3,BELL Georgia,Great Britain,GBR,Great Britain,Athletics,Women's 1500m,1993-10-17,1956840
Gold Medal,1,KITAGUCHI Haruka,Japan,JPN,Japan,Athletics,Women's Javelin Throw,1998-03-16,1919914
Silver Medal,2,van DYK Jo-Ane,South Africa,RSA,South Africa,Athletics,Women's Javelin Throw,1997-10-03,1981085
Bronze Medal,3,OGRODNIKOVA Nikola,Czechia,CZE,,Athletics,Women's Javelin Throw,1990-08-18,1892137
Gold Medal,1,JALOLOV Bakhodir,Uzbekistan,UZB,Uzbekistan,Boxing,Men's +92kg,1994-07-08,1556869
Silver Medal,2,GHADFA DRISSI EL AISSAOUI Ayoub,Spain,ESP,Spain,Boxing,Men's +92kg,1998-12-06,1934775
Gold Medal,1,KHALOKOV Abdumalik,Uzbekistan,UZB,Uzbekistan,Boxing,Men's 57kg,2000-04-09,1556049
Silver Medal,2,SEIITBEK UULU Munarbek,Kyrgyzstan,KGZ,Kyrgyzstan,Boxing,Men's 57kg,1996-01-01,1878687
Gold Medal,1,LIN Yu Ting,Chinese Taipei,TPE,Chinese Taipei,Boxing,Women's 57kg,1995-12-13,1887963
Silver Medal,2,SZEREMETA Julia,Poland,POL,Poland,Boxing,Women's 57kg,2003-08-24,1568655
Gold Medal,1,LI Qian,China,CHN,China,Boxing,Women's 75kg,1990-06-06,1926826
Silver Medal,2,BYLON Atheyna Bibeichi,Panama,PAN,Panama,Boxing,Women's 75kg,1989-04-06,1965679
Gold Medal,1,PHIL WIZARD,Canada,CAN,Canada,Breaking,B-Boys,1997-01-25,1958888
Silver Medal,2,DANY DANN,France,FRA,France,Breaking,B-Boys,1988-05-03,1880191
Bronze Medal,3,VICTOR,United States,USA,United States,Breaking,B-Boys,1994-05-01,1955590
Gold Medal,1,DOSTAL Josef,Czechia,CZE,Czechia,Canoe Sprint,Men's Kayak Single 1000m,1993-03-03,1878715
Silver Medal,2,VARGA Adam,Hungary,HUN,Hungary,Canoe Sprint,Men's Kayak Single 1000m,1999-11-20,1570863
Bronze Medal,3,KOPASZ Balint,Hungary,HUN,Hungary,Canoe Sprint,Men's Kayak Single 1000m,1997-06-20,1569972
Gold Medal,1,VINCENT Katie,Canada,CAN,Canada,Canoe Sprint,Women's Canoe Single 200m,1996-03-12,1964547
Silver Medal,2,HARRISON Nevin,United States,USA,United States,Canoe Sprint,Women's Canoe Single 200m,2002-06-02,1955126
Bronze Medal,3,CIRILO DUBOYS Yarisleidis,Cuba,CUB,Cuba,Canoe Sprint,Women's Canoe Single 200m,2002-05-10,1564506
Gold Medal,1,CARRINGTON Lisa,New Zealand,NZL,New Zealand,Canoe Sprint,Women's Kayak Single 500m,1989-06-23,1945383
Silver Medal,2,CSIPES Tamara,Hungary,HUN,Hungary,Canoe Sprint,Women's Kayak Single 500m,1989-08-24,1568350
Bronze Medal,3,JORGENSEN Emma Aastrand,Denmark,DEN,Denmark,Canoe Sprint,Women's Kayak Single 500m,1996-01-30,1892423
Gold Medal,1,CAO Yuan,China,CHN,China,Diving,Men's 10m Platform,1995-02-07,1901556
Silver Medal,2,TAMAI Rikuto,Japan,JPN,Japan,Diving,Men's 10m Platform,2006-09-11,1891685
Bronze Medal,3,WILLIAMS Noah,Great Britain,GBR,Great Britain,Diving,Men's 10m Platform,2000-05-15,1900857
Gold Medal,1,KO Lydia,New Zealand,NZL,New Zealand,Golf,Women's Individual Stroke Play,1997-04-24,1939553
Silver Medal,2,HENSELEIT Esther,Germany,GER,Germany,Golf,Women's Individual Stroke Play,1999-01-14,1892506
Bronze Medal,3,LIN Xiyu Janet,China,CHN,China,Golf,Women's Individual Stroke Play,1996-02-25,1913218
Gold Medal,1,ELGENDY Ahmed,Egypt,EGY,Egypt,Modern Pentathlon,Men's Individual,2000-03-01,1932649
Silver Medal,2,SATO Taishu,Japan,JPN,Japan,Modern Pentathlon,Men's Individual,1993-10-20,1887939
Bronze Medal,3,MALAN Giorgio,Italy,ITA,Italy,Modern Pentathlon,Men's Individual,2000-01-27,1553031
Gold Medal,1,GARNBRET Janja,Slovenia,SLO,Slovenia,Sport Climbing,Women's Boulder & Lead,1999-03-12,1981131
Silver Medal,2,RABOUTOU Brooke,United States,USA,United States,Sport Climbing,Women's Boulder & Lead,2001-04-09,1950307
Bronze Medal,3,PILZ Jessica,Austria,AUT,Austria,Sport Climbing,Women's Boulder & Lead,1996-11-22,1560673
Gold Medal,1,SALIMI Arian,IR Iran,IRI,IR Iran,Taekwondo,Men +80kg,2003-12-16,1536045
Silver Medal,2,CUNNINGHAM Caden,Great Britain,GBR,Great Britain,Taekwondo,Men +80kg,2003-05-07,1896149
Bronze Medal,3,ALBA Rafael,Cuba,CUB,Cuba,Taekwondo,Men +80kg,1993-08-12,1897088
Bronze Medal,3,CISSE Cheick Sallah,Côte d'Ivoire,CIV,Côte d'Ivoire,Taekwondo,Men +80kg,1993-09-19,1548401
Gold Medal,1,LAURIN Althea,France,FRA,France,Taekwondo,Women +67kg,2001-09-01,1893272
Silver Medal,2,OSIPOVA Svetlana,Uzbekistan,UZB,Uzbekistan,Taekwondo,Women +67kg,2000-05-03,1887768
Bronze Medal,3,LEE Dabin,Korea,KOR,Korea,Taekwondo,Women +67kg,1996-12-07,1904039
Bronze Medal,3,KUS AYDIN Nafia,Türkiye,TUR,Türkiye,Taekwondo,Women +67kg,1995-02-20,1566738
Gold Medal,1,TALAKHADZE Lasha,Georgia,GEO,Georgia,Weightlifting,Men's +102kg,1993-10-02,1551443
Silver Medal,2,LALAYAN Varazdat,Armenia,ARM,Armenia,Weightlifting,Men's +102kg,1999-05-01,1544424
Bronze Medal,3,MINASYAN Gor,Bahrain,BRN,Bahrain,Weightlifting,Men's +102kg,1994-10-25,1540334
Gold Medal,1,LIU Huanhua,China,CHN,China,Weightlifting,Men's 102kg,2001-08-20,1918369
Silver Medal,2,DJURAEV Akbar,Uzbekistan,UZB,Uzbekistan,Weightlifting,Men's 102kg,1999-10-08,1551307
Bronze Medal,3,TSIKHANTSOU Yauheni,AIN,AIN,Belarus,Weightlifting,Men's 102kg,1998-11-04,1569832
Gold Medal,1,KOANDA Solfrid Eila Amena,Norway,NOR,Norway,Weightlifting,Women's 81kg,1998-11-13,1878625
Silver Medal,2,AHMED Sara,Egypt,EGY,Egypt,Weightlifting,Women's 81kg,1998-01-01,1563010
Bronze Medal,3,DAJOMES BARRERA Neisi Patricia,Ecuador,ECU,Ecuador,Weightlifting,Women's 81kg,1998-05-12,1940308
Gold Medal,1,PETRIASHVILI Geno,Georgia,GEO,Georgia,Wrestling,Men's Freestyle 125kg,1994-04-01,1554885
Silver Medal,2,ZARE Amir Hossein,IR Iran,IRI,IR Iran,Wrestling,Men's Freestyle 125kg,2001-01-16,1543088
Bronze Medal,3,AKGUL Taha,Türkiye,TUR,Türkiye,Wrestling,Men's Freestyle 125kg,1990-11-22,1570546
Bronze Medal,3,MESHVILDISHVILI Giorgi,Azerbaijan,AZE,Azerbaijan,Wrestling,Men's Freestyle 125kg,1992-05-13,1947172
Gold Medal,1,JAMALOV Razambek Salambekovitch,Uzbekistan,UZB,Uzbekistan,Wrestling,Men's Freestyle 74kg,1998-06-01,1562164
Silver Medal,2,TAKATANI Daichi,Japan,JPN,Japan,Wrestling,Men's Freestyle 74kg,1994-11-22,1939708
Bronze Medal,3,DAKE Kyle Douglas,United States,USA,United States,Wrestling,Men's Freestyle 74kg,1991-02-25,1955345
Bronze Medal,3,VALIEV Chermen,Albania,ALB,Albania,Wrestling,Men's Freestyle 74kg,1998-12-10,3429662
Gold Medal,1,MOTOKI Sakura,Japan,JPN,Japan,Wrestling,Women's Freestyle 62kg,2002-02-20,1939702
Silver Medal,2,KOLIADENKO Iryna,Ukraine,UKR,Ukraine,Wrestling,Women's Freestyle 62kg,1998-08-28,1897022
Bronze Medal,3,TYNYBEKOVA Aisuluu,Kyrgyzstan,KGZ,Kyrgyzstan,Wrestling,Women's Freestyle 62kg,1993-05-04,1902786
Bronze Medal,3,BULLEN Grace Jacob,Norway,NOR,Norway,Wrestling,Women's Freestyle 62kg,1997-02-07,1878635
Gold Medal,1,HASSAN Sifan,Netherlands,NED,Netherlands,Athletics,Women's Marathon,1993-01-01,1972105
Silver Medal,2,ASSEFA Tigst,Ethiopia,ETH,Ethiopia,Athletics,Women's Marathon,1996-12-03,1901487
